chi,restart_idx,seed,entropy,fidelity,energy,converged,elapsed_sec,ed_entropy,entropy_error,error_message
2,0,20042,0.0,0.0,0.0,False,1.9485998564050533e-05,,,NameError: name 'optimize_mera_for_model' is not defined
2,1,21042,0.0,0.0,0.0,False,1.1711999832186848e-05,,,NameError: name 'optimize_mera_for_model' is not defined
2,2,22042,0.0,0.0,0.0,False,7.835000360500999e-06,,,NameError: name 'optimize_mera_for_model' is not defined
2,3,23042,0.0,0.0,0.0,False,6.713000402669422e-06,,,NameError: name 'optimize_mera_for_model' is not defined
4,0,40042,0.0,0.0,0.0,False,9.387000318383798e-06,,,NameError: name 'optimize_mera_for_model' is not defined
4,1,41042,0.0,0.0,0.0,False,7.224000000860542e-06,,,NameError: name 'optimize_mera_for_model' is not defined
4,2,42042,0.0,0.0,0.0,False,7.734999599051662e-06,,,NameError: name 'optimize_mera_for_model' is not defined
4,3,43042,0.0,0.0,0.0,False,6.7519995354814455e-06,,,NameError: name 'optimize_mera_for_model' is not defined
8,0,80042,0.0,0.0,0.0,False,6.862999725854024e-06,,,NameError: name 'optimize_mera_for_model' is not defined
8,1,81042,0.0,0.0,0.0,False,6.572001439053565e-06,,,NameError: name 'optimize_mera_for_model' is not defined
8,2,82042,0.0,0.0,0.0,False,6.212001608218998e-06,,,NameError: name 'optimize_mera_for_model' is not defined
8,3,83042,0.0,0.0,0.0,False,6.543001290992834e-06,,,NameError: name 'optimize_mera_for_model' is not defined
16,0,160042,0.0,0.0,0.0,False,7.704000381636433e-06,,,NameError: name 'optimize_mera_for_model' is not defined
16,1,161042,0.0,0.0,0.0,False,1.3705999663216062e-05,,,NameError: name 'optimize_mera_for_model' is not defined
16,2,162042,0.0,0.0,0.0,False,5.951000275672413e-06,,,NameError: name 'optimize_mera_for_model' is not defined
16,3,163042,0.0,0.0,0.0,False,6.402000508387573e-06,,,NameError: name 'optimize_mera_for_model' is not defined
