chi,restart_idx,seed,entropy,fidelity,energy,converged,elapsed_sec,ed_entropy,entropy_error,error_message
2,0,20042,0.2816872848194994,nan,-6.626073771591322,True,17.011833210000987,,,
2,1,21042,0.32668783331386975,nan,-6.655256291443029,True,12.140917995000564,,,
2,2,22042,0.2880176983649056,nan,-6.652945882681514,True,12.125044888998673,,,
2,3,23042,0.30242677099849374,nan,-6.623687564327434,True,12.048566915000265,,,
4,0,40042,0.35593516510454754,nan,-6.73622806972522,True,13.726037148000614,,,
4,1,41042,0.3206956782059802,nan,-6.7674758814487035,True,13.087047744000301,,,
4,2,42042,0.40400491348802736,nan,-6.808264793216173,True,13.013850097000613,,,
4,3,43042,0.325044744675772,nan,-6.775079663142735,True,13.05891174700082,,,
8,0,80042,0.3758675895855193,nan,-6.803308185556668,True,17.752909238999564,,,
8,1,81042,0.3599458899353473,nan,-6.791214734609343,True,17.369147329000043,,,
8,2,82042,0.37395231754546965,nan,-6.824018238959315,True,17.10687408800004,,,
8,3,83042,0.370227770998056,nan,-6.796342782871981,True,16.758543751000616,,,
16,0,160042,0.36278209626726166,nan,-6.813988175408474,True,138.85702393500105,,,
16,1,161042,0.3863064142632296,nan,-6.827558380606883,True,130.97436980099883,,,
16,2,162042,0.44169912933029454,nan,-6.838798294545603,True,129.433208243001,,,
16,3,163042,0.4119143463475124,nan,-6.838283032990645,True,130.89375342099993,,,
