chi,restart_idx,seed,entropy,fidelity,energy,converged,elapsed_sec,ed_entropy,entropy_error,error_message
2,0,20042,0.3017054653475904,nan,-6.647071796664352,True,17.1750345140008,,,
2,1,21042,0.25239198332031226,nan,-6.643693557519252,True,12.401784322999447,,,
2,2,22042,0.25639088836640306,nan,-6.643519143627248,True,12.450135995000892,,,
2,3,23042,0.2905907068437366,nan,-6.630786377908231,True,12.571785662001275,,,
4,0,40042,0.33664408689482056,nan,-6.7700389343572045,True,14.460270141000365,,,
4,1,41042,0.32041047233427505,nan,-6.730673508525382,True,13.643804654000633,,,
4,2,42042,0.33255200093316284,nan,-6.758883997380206,True,13.854656278999755,,,
4,3,43042,0.39326335502374954,nan,-6.774026665390243,True,13.339449572999001,,,
8,0,80042,0.3697440871775705,nan,-6.808727568275299,True,18.699532956999974,,,
8,1,81042,0.37859430215957546,nan,-6.823561006584333,True,18.105617199000335,,,
8,2,82042,0.3570171436926264,nan,-6.792870316674548,True,17.953736350000327,,,
8,3,83042,0.3793163515382298,nan,-6.812770945844122,True,18.16854896299992,,,
16,0,160042,0.41638107528613033,nan,-6.835535878112301,True,145.19440428500093,,,
16,1,161042,0.3943372007881683,nan,-6.821527490842202,True,138.1159482210005,,,
16,2,162042,0.4036248527648074,nan,-6.828209224303207,True,135.95939720599927,,,
16,3,163042,0.3933785745713088,nan,-6.828817228237023,True,134.10436206099985,,,
