chi,restart_idx,seed,converged,num_steps,elapsed_sec,fidelity,entropy,final_energy,error_message
2,0,20042,1,120,14.55905951800014,0.4444255349224858,0.2757743800121751,-6.597990506885092,
2,1,21042,1,120,11.779427534000206,0.47252621536232126,0.333432205894167,-6.65567713102038,
2,2,22042,1,120,12.020477733000007,0.4704740262715489,0.28043998114736834,-6.652297158278966,
2,3,23042,1,120,12.11095932599983,0.48360067637312476,0.2851260911262745,-6.6472630992784705,
4,0,40042,1,120,13.075471920999917,0.7727867214326183,0.3788805410247399,-6.779776410270197,
4,1,41042,1,120,12.822354419999101,0.8156525384671067,0.38500902193280817,-6.802944705781411,
4,2,42042,1,120,13.063308509999842,0.647189799759189,0.33735626881943426,-6.7336616927734125,
4,3,43042,1,120,12.547671432000243,0.6845247526664338,0.321758917508065,-6.767466402026623,
8,0,80042,1,120,17.579770549000386,0.7630053736720097,0.36582293921852427,-6.791050937130421,
8,1,81042,1,120,17.03438440300033,0.8715647899144731,0.3861547090484827,-6.823479598153163,
8,2,82042,1,120,17.009723510000185,0.8721890639996087,0.37461829466322044,-6.825309780736008,
8,3,83042,1,120,17.432076121000136,0.8578749413312077,0.37741432442532596,-6.821010885375394,
16,0,160042,1,120,136.3527886060001,0.8082105177095091,0.3554900683032757,-6.812037949162291,
16,1,161042,1,120,125.99086922799961,0.9380074318389201,0.35855232063159886,-6.857972684069359,
16,2,162042,1,120,125.28070628399928,0.8697796503677525,0.38257940416153735,-6.815485095591649,
16,3,163042,1,120,125.18738408099944,0.8960817493511561,0.39553280075778585,-6.827658781104022,
