chi,restart_idx,seed,converged,num_steps,elapsed_sec,fidelity,entropy,final_energy,error_message
2,0,20042,1,120,14.995187866999913,0.4730706631706012,0.28035085160211015,-6.646987484798798,
2,1,21042,1,120,11.719511215998864,0.45765245659634446,0.3312327050095396,-6.632888865282695,
2,2,22042,1,120,11.914042119000442,0.4732628464321276,0.2871626838261796,-6.648726488997769,
2,3,23042,1,120,11.801323646999663,0.4373712518141642,0.274823389745157,-6.618860492264709,
4,0,40042,1,120,13.552516859999741,0.6511159533613814,0.33303982076086247,-6.7574942725998435,
4,1,41042,1,120,12.484709087000738,0.7196640382929144,0.3765694213866528,-6.773753438107683,
4,2,42042,1,120,12.531395541000165,0.8025447609820319,0.36690814759152557,-6.804596446467121,
4,3,43042,1,120,12.551769903000604,0.6320707614141545,0.32386511536561247,-6.746656943577772,
8,0,80042,1,120,17.25393541899939,0.7359275968103464,0.32901225206120205,-6.775849011516334,
8,1,81042,1,120,16.67691268999988,0.8349722303133551,0.3703453210706257,-6.816154527761551,
8,2,82042,1,120,17.576018629999453,0.8117960028058889,0.29561990469406074,-6.784052369365459,
8,3,83042,1,120,16.753201580999303,0.8929222153707895,0.41930507339267165,-6.836685923351823,
16,0,160042,1,120,138.63401637800052,0.8894621895091499,0.3777415352801043,-6.826705369125754,
16,1,161042,1,120,125.20876017299997,0.877924771427606,0.3771305286291142,-6.823285251334107,
16,2,162042,1,120,124.1993786059993,0.8746160715663428,0.3812507432869767,-6.827895776064586,
16,3,163042,1,120,129.46289358899958,0.8518591048552736,0.35383358210205534,-6.824620932718078,
