chi,restart_idx,seed,converged,num_steps,elapsed_sec,fidelity,entropy,final_energy,error_message
2,0,20042,1,120,6.93349327299984,0.8138322254049714,0.2818697340714003,-3.240949899542673,
2,1,21042,1,120,4.058052743999724,0.9449175237077937,0.4829780165297899,-3.2645902186285465,
2,2,22042,1,120,4.318557962000341,0.7758041732009913,0.21895094722593986,-3.2331417360545385,
2,3,23042,1,120,4.4825643169988325,0.7749383129696531,0.21542698070158578,-3.2327103112150875,
4,0,40042,1,120,4.781798236001123,0.999248209731147,0.4505266255926871,-3.3730153166271166,
4,1,41042,1,120,4.582679192000796,0.9989492135390446,0.4513980858504391,-3.3720807327687874,
4,2,42042,1,120,4.342774312999609,0.9989984747622571,0.45049373788284663,-3.372275149991176,
4,3,43042,1,120,4.4023833720002585,0.9976428749192551,0.44121102788251143,-3.3699611489898658,
8,0,80042,1,120,5.637398746999679,0.999920337482909,0.45749690303991986,-3.3746708962389502,
8,1,81042,1,120,5.220433823000349,0.9999609292204397,0.45693132542794807,-3.374790324800056,
8,2,82042,1,120,5.332642784998825,0.9999292917428215,0.4574048994614126,-3.3746990850494645,
8,3,83042,1,120,5.4933164909998595,0.9998440975258821,0.4560611795295471,-3.3744418386540356,
16,0,160042,1,120,4.667283438000595,0.9999999936260615,0.45701704061973036,-3.3749325869167657,
16,1,161042,1,120,4.411459661001572,0.9999999976344414,0.4569803631843974,-3.374932597619642,
16,2,162042,1,120,4.391075158999229,0.9999999947785907,0.45693987258035834,-3.374932594884489,
16,3,163042,1,120,4.155609532999733,0.9999999983061723,0.4569728443082037,-3.374932597727644,
